Unit,Year,EX_rate
Australian Dollar,2000,1.7187115438
Australian Dollar,2001,1.9308610463
Australian Dollar,2002,1.8388182726
Australian Dollar,2003,1.5316742861
Australian Dollar,2004,1.3583132575
Australian Dollar,2005,1.3115677589
Australian Dollar,2006,1.3277748181
Australian Dollar,2007,1.1923278589
Australian Dollar,2008,1.1712378544
Australian Dollar,2009,1.2614576143
Australian Dollar,2010,1.0883449453
Australian Dollar,2011,0.968392629
Australian Dollar,2012,0.9652641646
Australian Dollar,2013,1.0323883654
Australian Dollar,2014,1.1069370681
Australian Dollar,2015,1.3294877077
Canadian Dollar,2000,1.4848768924
Canadian Dollar,2001,1.548260241
Canadian Dollar,2002,1.5703792829
Canadian Dollar,2003,1.4018714859
Canadian Dollar,2004,1.3069442396
Canadian Dollar,2005,1.2114392344
Canadian Dollar,2006,1.1334153846
Canadian Dollar,2007,1.0748190871
Canadian Dollar,2008,1.0656952
Canadian Dollar,2009,1.1419666667
Canadian Dollar,2010,1.0302809129
Canadian Dollar,2011,0.9890336245
Canadian Dollar,2012,0.9996347458
Canadian Dollar,2013,1.0293831933
Canadian Dollar,2014,1.1046142259
Canadian Dollar,2015,1.2794248963
Euro,1995,0.773111193
Euro,2000,1.0827050813
Euro,2001,1.1165330856
Euro,2002,1.0579550273
Euro,2003,0.8840479272
Euro,2004,0.803763741
Euro,2005,0.8039459412
Euro,2006,0.7964327309
Euro,2007,0.7296724
Euro,2008,0.67992268
Euro,2009,0.716957702
Euro,2010,0.7539899641
Euro,2011,0.7181477671
Euro,2012,0.7784393276
Euro,2013,0.7530456084
Euro,2014,0.7524949625
Euro,2015,0.9016204346
Yen,2000,107.7816935484
Yen,2001,121.5857489879
Yen,2002,125.1434146341
Yen,2003,115.9796311475
Yen,2004,108.1672244898
Yen,2005,110.2096326531
Yen,2006,116.2894308943
Yen,2007,117.7928571429
Yen,2008,103.4077959184
Yen,2009,93.6171487603
Yen,2010,87.8074895397
Yen,2011,79.7706329114
Yen,2012,79.7896694215
Yen,2013,97.653559322
Yen,2014,105.6251914894
Yen,2015,121.105720339
Pound Sterling,2000,0.6600668711
Pound Sterling,2001,0.6944629786
Pound Sterling,2002,0.6651151851
Pound Sterling,2003,0.6116534015
Pound Sterling,2004,0.5459467054
Pound Sterling,2005,0.5497327783
Pound Sterling,2006,0.5427198512
Pound Sterling,2007,0.4995490399
Pound Sterling,2008,0.5394643563
Pound Sterling,2009,0.6385338254
Pound Sterling,2010,0.6469923142
Pound Sterling,2011,0.62348186
Pound Sterling,2012,0.6309397874
Pound Sterling,2013,0.6395011786
Pound Sterling,2014,0.6067189228
Pound Sterling,2015,0.6539932561
Czech Koruna,2000,NA
Czech Koruna,2001,38.0180253165
Czech Koruna,2002,32.7996224066
Czech Koruna,2003,28.2380247934
Czech Koruna,2004,25.7164807229
Czech Koruna,2005,23.9460292887
Czech Koruna,2006,22.5986150628
Czech Koruna,2007,20.3283536585
Czech Koruna,2008,17.0315944882
Czech Koruna,2009,19.0493849206
Czech Koruna,2010,19.1159878543
Czech Koruna,2011,17.6729835391
Czech Koruna,2012,19.5803692946
Czech Koruna,2013,19.5599751037
Czech Koruna,2014,20.7480580913
Czech Koruna,2015,24.6082365145
Danish Krone,2000,8.0910896825
Danish Krone,2001,8.3186228916
Danish Krone,2002,7.884397551
Danish Krone,2003,6.5903032258
Danish Krone,2004,5.9922613821
Danish Krone,2005,6.0017909836
Danish Krone,2006,5.9464068548
Danish Krone,2007,5.4441896414
Danish Krone,2008,5.0986408
Danish Krone,2009,5.356465754
Danish Krone,2010,5.6237595918
Danish Krone,2011,5.3603127049
Danish Krone,2012,5.7974192469
Danish Krone,2013,5.6161628692
Danish Krone,2014,5.6206771186
Danish Krone,2015,6.730405
Forint,2000,282.3028514056
Forint,2001,286.4475308642
Forint,2002,258.3065163934
Forint,2003,224.4609504132
Forint,2004,202.8415966387
Forint,2005,199.9874683544
Forint,2006,210.6709677419
Forint,2007,183.7976734694
Forint,2008,171.7991633466
Forint,2009,202.259561753
Forint,2010,208.0455102041
Forint,2011,200.7423265306
Forint,2012,225.3374683544
Forint,2013,223.7927777778
Forint,2014,232.560083682
Forint,2015,279.4547933884
Iceland Krona,2000,78.9555555556
Iceland Krona,2001,97.4467381974
Iceland Krona,2002,91.2388944724
Iceland Krona,2003,76.5535217391
Iceland Krona,2004,70.1854901961
Iceland Krona,2005,62.8373913043
Iceland Krona,2006,69.7158299595
Iceland Krona,2007,64.0578714859
Iceland Krona,2008,88.1812749004
Iceland Krona,2009,123.599516129
Iceland Krona,2010,122.1505737705
Iceland Krona,2011,116.0446280992
Iceland Krona,2012,125.0390376569
Iceland Krona,2013,122.213559322
Iceland Krona,2014,116.7570042194
Iceland Krona,2015,131.895875
New Israeli Sheqel,2000,NA
New Israeli Sheqel,2001,4.2245706522
New Israeli Sheqel,2002,4.7376625
New Israeli Sheqel,2003,4.5447815126
New Israeli Sheqel,2004,4.4797284483
New Israeli Sheqel,2005,4.4880798319
New Israeli Sheqel,2006,4.4543991597
New Israeli Sheqel,2007,4.1081875
New Israeli Sheqel,2008,3.5862782258
New Israeli Sheqel,2009,3.9232909836
New Israeli Sheqel,2010,3.734106383
New Israeli Sheqel,2011,3.5763205128
New Israeli Sheqel,2012,3.8590382979
New Israeli Sheqel,2013,3.6095411255
New Israeli Sheqel,2014,3.5808461538
New Israeli Sheqel,2015,3.8846949153
Won,2000,1120.9085470086
Won,2001,1297.3994565217
Won,2002,1250.782231405
Won,2003,1191.8564516129
Won,2004,1147.0367713005
Won,2005,1023.8502325581
Won,2006,955.1248945148
Won,2007,929.0838983051
Won,2008,1099.4639676113
Won,2009,1276.3632
Won,2010,1156.0893442623
Won,2011,1107.3975103734
Won,2012,1127.4934309623
Won,2013,1095.3578059072
Won,2014,1052.5033050848
Won,2015,1131.6779166667
Mexican Peso,2000,NA
Mexican Peso,2001,NA
Mexican Peso,2002,10.0252690476
Mexican Peso,2003,10.7966804878
Mexican Peso,2004,11.2863443396
Mexican Peso,2005,10.8788965517
Mexican Peso,2006,10.9103196429
Mexican Peso,2007,10.9281215768
Mexican Peso,2008,11.1406854839
Mexican Peso,2009,13.4956121951
Mexican Peso,2010,12.6330693277
Mexican Peso,2011,12.4421705882
Mexican Peso,2012,13.1644924107
Mexican Peso,2013,12.7654221739
Mexican Peso,2014,13.2999350877
Mexican Peso,2015,15.8872004184
Norwegian Krone,2000,8.8049726908
Norwegian Krone,2001,8.9885852
Norwegian Krone,2002,7.9910554113
Norwegian Krone,2003,7.085545749
Norwegian Krone,2004,6.7372056225
Norwegian Krone,2005,6.4504323404
Norwegian Krone,2006,6.4116533898
Norwegian Krone,2007,5.854453252
Norwegian Krone,2008,5.6398876
Norwegian Krone,2009,6.2848919355
Norwegian Krone,2010,6.0439557851
Norwegian Krone,2011,5.6097920502
Norwegian Krone,2012,5.82341125
Norwegian Krone,2013,5.8730823529
Norwegian Krone,2014,6.3037209205
Norwegian Krone,2015,8.0772399177
New Zealand Dollar,2000,2.1883482393
New Zealand Dollar,2001,2.3772400916
New Zealand Dollar,2002,2.1553904556
New Zealand Dollar,2003,1.7180040159
New Zealand Dollar,2004,1.5071272232
New Zealand Dollar,2005,1.4202503451
New Zealand Dollar,2006,1.5417562107
New Zealand Dollar,2007,1.3582147978
New Zealand Dollar,2008,1.4012005665
New Zealand Dollar,2009,1.5726449642
New Zealand Dollar,2010,1.3875902222
New Zealand Dollar,2011,1.2622864091
New Zealand Dollar,2012,1.2343674878
New Zealand Dollar,2013,1.2186938457
New Zealand Dollar,2014,1.2033308197
New Zealand Dollar,2015,1.4303341225
Swiss Franc,2000,1.6901347826
Swiss Franc,2001,1.6876983871
Swiss Franc,2002,1.5549598354
Swiss Franc,2003,1.3458221277
Swiss Franc,2004,1.2426925926
Swiss Franc,2005,1.2457656904
Swiss Franc,2006,1.254127459
Swiss Franc,2007,1.1999661017
Swiss Franc,2008,1.0832181818
Swiss Franc,2009,1.0858322709
Swiss Franc,2010,1.0433727273
Swiss Franc,2011,0.8875874694
Swiss Franc,2012,0.9383431535
Swiss Franc,2013,0.926941841
Swiss Franc,2014,0.9151918367
Swiss Franc,2015,0.9627433198
Zloty,2000,NA
Zloty,2001,4.1007
Zloty,2002,4.0801425101
Zloty,2003,3.8891634538
Zloty,2004,3.6494618474
Zloty,2005,3.2352379592
Zloty,2006,3.1054240664
Zloty,2007,2.7706653061
Zloty,2008,2.4045393443
Zloty,2009,3.117534
Zloty,2010,3.0172065844
Zloty,2011,2.9606270492
Zloty,2012,3.2586340336
Zloty,2013,3.1618393305
Zloty,2014,3.1542012448
Zloty,2015,3.7729848361
Swedish Krona,2000,9.1805443548
Swedish Krona,2001,10.3272688
Swedish Krona,2002,9.73351417
Swedish Krona,2003,8.0885041322
Swedish Krona,2004,7.35137625
Swedish Krona,2005,7.4595665217
Swedish Krona,2006,7.3763217213
Swedish Krona,2007,6.7583214286
Swedish Krona,2008,6.5946584337
Swedish Krona,2009,7.645796371
Swedish Krona,2010,7.2066666667
Swedish Krona,2011,6.4953516529
Swedish Krona,2012,6.7733885593
Swedish Krona,2013,6.5124154812
Swedish Krona,2014,6.8629142857
Swedish Krona,2015,8.43733
Turkish Lira,2000,NA
Turkish Lira,2001,1.22559
Turkish Lira,2002,1.50723
Turkish Lira,2003,1.50089
Turkish Lira,2004,1.42554
Turkish Lira,2005,1.34358
Turkish Lira,2006,1.42845
Turkish Lira,2007,1.30293
Turkish Lira,2008,1.30152
Turkish Lira,2009,1.54996
Turkish Lira,2010,1.50285
Turkish Lira,2011,1.6784115003
Turkish Lira,2012,1.8000334019
Turkish Lira,2013,1.9041352896
Turkish Lira,2014,2.1873090623
Turkish Lira,2015,2.7229525833
US Dollar,2000,1
US Dollar,2001,1
US Dollar,2002,1
US Dollar,2003,1
US Dollar,2004,1
US Dollar,2005,1
US Dollar,2006,1
US Dollar,2007,1
US Dollar,2008,1
US Dollar,2009,1
US Dollar,2010,1
US Dollar,2011,1
US Dollar,2012,1
US Dollar,2013,1
US Dollar,2014,1
US Dollar,2015,1
